0,0,0.000000%
1,466,4.858215%
2,1,0.010425%
3,493,5.139700%
4,0,0.000000%
5,485,5.056297%
6,0,0.000000%
7,465,4.847790%
8,0,0.000000%
9,475,4.952043%
10,0,0.000000%
11,1,0.010425%
12,0,0.000000%
13,478,4.983319%
14,0,0.000000%
15,478,4.983319%
16,0,0.000000%
17,488,5.087573%
18,0,0.000000%
19,488,5.087573%
20,0,0.000000%
21,477,4.972894%
22,0,0.000000%
23,479,4.993745%
24,0,0.000000%
25,470,4.899917%
26,0,0.000000%
27,478,4.983319%
28,0,0.000000%
29,490,5.108424%
30,0,0.000000%
31,478,4.983319%
32,0,0.000000%
33,0,0.000000%
34,0,0.000000%
35,478,4.983319%
36,0,0.000000%
37,484,5.045872%
38,0,0.000000%
39,478,4.983319%
40,0,0.000000%
41,470,4.899917%
42,0,0.000000%
43,492,5.129274%
9.59%,9592